c,cLabel,genderLabel
http://www.wikidata.org/entity/Q64099772,Wilson Fisk,male
http://www.wikidata.org/entity/Q64514311,Raina,female
http://www.wikidata.org/entity/Q64514325,Ian Quinn,male
http://www.wikidata.org/entity/Q64658380,Carol Danvers,female
http://www.wikidata.org/entity/Q64692748,I am Groot,
http://www.wikidata.org/entity/Q64825451,Thanos,male
http://www.wikidata.org/entity/Q65920871,Edwin Jarvis,male
http://www.wikidata.org/entity/Q65928804,Maya Hansen,female
http://www.wikidata.org/entity/Q65929156,Aldrich Killian,male
http://www.wikidata.org/entity/Q65929198,Shang-Chi,male
http://www.wikidata.org/entity/Q65929221,Wenwu,male
http://www.wikidata.org/entity/Q65929267,Eric Savin,male
http://www.wikidata.org/entity/Q65929293,Ho Yinsen,male
http://www.wikidata.org/entity/Q65929369,Wolfgang von Strucker,male
http://www.wikidata.org/entity/Q65929568,Kurse,male
http://www.wikidata.org/entity/Q65929591,Georges Batroc,male
http://www.wikidata.org/entity/Q65929641,Tyr,male
http://www.wikidata.org/entity/Q65929696,Korath,male
http://www.wikidata.org/entity/Q65929709,Blade,male
http://www.wikidata.org/entity/Q65929729,Malekith,male
http://www.wikidata.org/entity/Q65929755,Alexander Pierce,male
http://www.wikidata.org/entity/Q65929788,Betty Ross,female
http://www.wikidata.org/entity/Q65929830,Leonard Samson,male
http://www.wikidata.org/entity/Q65929846,Samuel Sterns,male
http://www.wikidata.org/entity/Q65935271,Obadiah Stane,male
http://www.wikidata.org/entity/Q65935285,Dum Dum Dugan,male
http://www.wikidata.org/entity/Q65935296,Abraham Erskine,male
http://www.wikidata.org/entity/Q65935320,Gabe Jones,male
http://www.wikidata.org/entity/Q65935329,Chester Phillips,male
http://www.wikidata.org/entity/Q65935346,Jim Morita,male
http://www.wikidata.org/entity/Q65935363,Heinz Kruger,male
http://www.wikidata.org/entity/Q65935380,Emil Blonsky,male
http://www.wikidata.org/entity/Q65935522,Rhomann Dey,male
http://www.wikidata.org/entity/Q65935548,Kaecilius,male
http://www.wikidata.org/entity/Q65935573,Taserface,male
http://www.wikidata.org/entity/Q65935802,Corvus Glaive,male
http://www.wikidata.org/entity/Q65935811,Eitri,male
http://www.wikidata.org/entity/Q65935830,Ajak,female
http://www.wikidata.org/entity/Q65935839,J. Jonah Jameson,male
http://www.wikidata.org/entity/Q65935848,Alexei Shostakov,male
http://www.wikidata.org/entity/Q65935858,Ikaris,male
http://www.wikidata.org/entity/Q65935876,Betty Brant,female
http://www.wikidata.org/entity/Q65937785,Gilgamesh,male
http://www.wikidata.org/entity/Q65937794,Makkari,female
http://www.wikidata.org/entity/Q65937802,Phastos,male
http://www.wikidata.org/entity/Q65937810,Sprite,female
http://www.wikidata.org/entity/Q65937816,Thena,female
http://www.wikidata.org/entity/Q65937824,Proxima Midnight,female
http://www.wikidata.org/entity/Q65937880,Bor,male
http://www.wikidata.org/entity/Q65937899,Eir,female
http://www.wikidata.org/entity/Q65937931,Cull Obsidian,male
http://www.wikidata.org/entity/Q65937943,Ebony Maw,male
http://www.wikidata.org/entity/Q65938290,Kingo Sunen,male
http://www.wikidata.org/entity/Q65952746,Stakar Ogord,male
http://www.wikidata.org/entity/Q65952811,Meredith Quill,female
http://www.wikidata.org/entity/Q66132762,Cameron Klein,male
http://www.wikidata.org/entity/Q66132777,Cooper Barton,male
http://www.wikidata.org/entity/Q66133282,Cindy Moon,female
http://www.wikidata.org/entity/Q66133287,Sally Avril,female
http://www.wikidata.org/entity/Q66133301,Brian McKeever,male
http://www.wikidata.org/entity/Q66133307,Jack McGee,male
http://www.wikidata.org/entity/Q66133315,Georgi Luchkov,male
http://www.wikidata.org/entity/Q66133318,Senator Boynton,male
http://www.wikidata.org/entity/Q66133320,Shawna Lynde,female
http://www.wikidata.org/entity/Q66133325,Ian Boothby,male
http://www.wikidata.org/entity/Q66133331,Peachy,male
http://www.wikidata.org/entity/Q66133333,Aleta Ogord,female
http://www.wikidata.org/entity/Q66133335,Charlie-27,male
http://www.wikidata.org/entity/Q66133337,Huhtar,male
http://www.wikidata.org/entity/Q66133338,Martinex,male
http://www.wikidata.org/entity/Q66133342,Tullk,male
http://www.wikidata.org/entity/Q66133355,Zylak,male
http://www.wikidata.org/entity/Q66133358,Bereet,female
http://www.wikidata.org/entity/Q66133359,Horuz,male
http://www.wikidata.org/entity/Q66133364,Moloka Dar,male
http://www.wikidata.org/entity/Q66133366,Councilman Rockwell,male
http://www.wikidata.org/entity/Q66133368,Ava Starr,female
http://www.wikidata.org/entity/Q66133372,Bill Foster,male
http://www.wikidata.org/entity/Q66133380,Sonny Burch,male
http://www.wikidata.org/entity/Q66133381,Jimmy Woo,male
http://www.wikidata.org/entity/Q66133383,Elihas Starr,male
http://www.wikidata.org/entity/Q66133388,Catherine Starr,female
http://www.wikidata.org/entity/Q66133393,Goose,male organism
http://www.wikidata.org/entity/Q66133428,Att-Lass,male
http://www.wikidata.org/entity/Q66133432,Maria Rambeau,female
http://www.wikidata.org/entity/Q66133435,Monica Rambeau,female
http://www.wikidata.org/entity/Q66133436,Yon-Rogg,male
http://www.wikidata.org/entity/Q66189072,Minn-Erva,female
http://www.wikidata.org/entity/Q24050112,Irani Rael,female
http://www.wikidata.org/entity/Q24050114,Ego,male
http://www.wikidata.org/entity/Q24050117,Bruce Banner,male
http://www.wikidata.org/entity/Q24050122,Hela,female
http://www.wikidata.org/entity/Q24050133,Hope van Dyne,female
http://www.wikidata.org/entity/Q24068213,Detective Lemieux,male
http://www.wikidata.org/entity/Q24068383,General Meade,male
http://www.wikidata.org/entity/Q24068387,Ten Rings Gangster,male
http://www.wikidata.org/entity/Q24068391,Anton Vanko,male
http://www.wikidata.org/entity/Q24068402,Rebecca,female
http://www.wikidata.org/entity/Q24068411,Rebeka,female
http://www.wikidata.org/entity/Q24073665,Bambi Arbogast,female
http://www.wikidata.org/entity/Q24073681,Chess Roberts,female
http://www.wikidata.org/entity/Q24073725,Jack,male
http://www.wikidata.org/entity/Q24083294,Jasper Sitwell,male
http://www.wikidata.org/entity/Q24083312,Isabela Alvarez,female
http://www.wikidata.org/entity/Q24131920,Puente Antiguo,
http://www.wikidata.org/entity/Q24175349,Frost Giant Sentry,male
http://www.wikidata.org/entity/Q24175951,Valkyrie,female
http://www.wikidata.org/entity/Q24176023,Grandmaster,male
http://www.wikidata.org/entity/Q24176049,Skurge,male
http://www.wikidata.org/entity/Q24200251,Johann Schmidt,male
http://www.wikidata.org/entity/Q24206844,Hailstrum,male
http://www.wikidata.org/entity/Q24207018,Trevor Slattery,male
http://www.wikidata.org/entity/Q24265423,Hank Pym,male
http://www.wikidata.org/entity/Q24275986,Darren Cross,male
http://www.wikidata.org/entity/Q24275991,James Paxton,male
http://www.wikidata.org/entity/Q24276086,Luis,male
http://www.wikidata.org/entity/Q24276092,Maggie Lang,female
http://www.wikidata.org/entity/Q24276097,Dave,male
http://www.wikidata.org/entity/Q24276100,Kurt,male
http://www.wikidata.org/entity/Q24276107,Gale,male
http://www.wikidata.org/entity/Q24510074,School principal,male
http://www.wikidata.org/entity/Q25714609,Security Guard,male
http://www.wikidata.org/entity/Q25936379,Harley Keener,male
http://www.wikidata.org/entity/Q26224467,Christine Palmer,female
http://www.wikidata.org/entity/Q26261996,Phineas Mason,male
http://www.wikidata.org/entity/Q26268850,Erik Killmonger,male
http://www.wikidata.org/entity/Q26268859,Nakia,female
http://www.wikidata.org/entity/Q26758863,Ayo,female
http://www.wikidata.org/entity/Q26760958,Wakanda,
http://www.wikidata.org/entity/Q26761024,Dr. Broussard,male
http://www.wikidata.org/entity/Q26761595,UN Staffer Gibson,female
http://www.wikidata.org/entity/Q26761640,Zemo's Wife,female
http://www.wikidata.org/entity/Q26771565,Josef,male
http://www.wikidata.org/entity/Q26772284,Ayesha,female
http://www.wikidata.org/entity/Q26772344,Gef,male
http://www.wikidata.org/entity/Q26772371,Retch,male
http://www.wikidata.org/entity/Q26772381,Halfnut,male
http://www.wikidata.org/entity/Q26772388,Brahl,male
http://www.wikidata.org/entity/Q26772430,Oblo,male
http://www.wikidata.org/entity/Q26772438,Narblik,male organism
http://www.wikidata.org/entity/Q26772446,Scrote,male
http://www.wikidata.org/entity/Q26809707,Liz Toomes,female
http://www.wikidata.org/entity/Q26817985,Arnim Zola,male
http://www.wikidata.org/entity/Q26857638,Lincoln Campbell,
http://www.wikidata.org/entity/Q27045831,M'Baku,male
http://www.wikidata.org/entity/Q27057203,Cassie Lang,female
http://www.wikidata.org/entity/Q27057247,Mitchell Carson,male
http://www.wikidata.org/entity/Q27057308,Dale,male
http://www.wikidata.org/entity/Q27062173,Robbie Reyes / Ghost Rider,male
http://www.wikidata.org/entity/Q27067868,Hideous Rabbit,
http://www.wikidata.org/entity/Q27067914,Janet van Dyne,female
http://www.wikidata.org/entity/Q27092482,Ulysses Klaue,male
http://www.wikidata.org/entity/Q27101591,Ultron,male organism
http://www.wikidata.org/entity/Q27101792,Pietro Maximoff,male
http://www.wikidata.org/entity/Q27132943,Cottonmouth,male
http://www.wikidata.org/entity/Q27147335,Zuri,male
http://www.wikidata.org/entity/Q27147410,W'Kabi,male
http://www.wikidata.org/entity/Q27237328,Jonathan Pangborn,male
http://www.wikidata.org/entity/Q27468455,Claire Temple,female
http://www.wikidata.org/entity/Q27624318,Lucian,male
http://www.wikidata.org/entity/Q27624531,Hamir,male
http://www.wikidata.org/entity/Q27624560,Sol Rama,male
http://www.wikidata.org/entity/Q27627816,Dormammu,male organism
http://www.wikidata.org/entity/Q27670271,Tina Minoru,female
http://www.wikidata.org/entity/Q27670314,Daniel Drumm,male
http://www.wikidata.org/entity/Q27670318,Patel,female
http://www.wikidata.org/entity/Q27670335,Nurse Billy,male
http://www.wikidata.org/entity/Q27670340,Dr. Garrison,female
http://www.wikidata.org/entity/Q27670356,Dr. Weiss,male
http://www.wikidata.org/entity/Q27804665,Hydra Buyer,male
http://www.wikidata.org/entity/Q27813421,Adrian Toomes,male
http://www.wikidata.org/entity/Q27902081,Ramonda,female
http://www.wikidata.org/entity/Q27996066,Herman Schultz,male
http://www.wikidata.org/entity/Q28379764,N'Jobu,male
http://www.wikidata.org/entity/Q28914116,Taneleer Tivan,male
http://www.wikidata.org/entity/Q29051978,Shuri,female
http://www.wikidata.org/entity/Q29053559,Ned Leeds,male
http://www.wikidata.org/entity/Q29842885,Kraglin,male
http://www.wikidata.org/entity/Q42201389,Topaz,female
http://www.wikidata.org/entity/Q42268330,Korg,male
http://www.wikidata.org/entity/Q42269449,Surtur,male
http://www.wikidata.org/entity/Q42270632,Actor Sif,female
http://www.wikidata.org/entity/Q42271004,Lead Scrapper,male
http://www.wikidata.org/entity/Q42271875,Cousin Carlo,male
http://www.wikidata.org/entity/Q42272028,Beerbot 5000,male
http://www.wikidata.org/entity/Q52947626,Ronan,male
http://www.wikidata.org/entity/Q52947928,Carina,female
http://www.wikidata.org/entity/Q53417307,Okoye,female
http://www.wikidata.org/entity/Q115331100,Destruction of the Chinese Theatre,
http://www.wikidata.org/entity/Q115331185,Destruction of Tony Stark's Mansion,
http://www.wikidata.org/entity/Q115331208,Battle of Rose Hill,
http://www.wikidata.org/entity/Q115331237,Kidnapping of James Rhodes,
http://www.wikidata.org/entity/Q115331282,Infiltration into Aldrich Killian's Mansion,
http://www.wikidata.org/entity/Q115331403,Kidnapping of President Ellis,
http://www.wikidata.org/entity/Q115331422,Battle on the Norco,
http://www.wikidata.org/entity/Q115361593,War of the Nine Realms,
http://www.wikidata.org/entity/Q115361748,Battle of Vanaheim,
http://www.wikidata.org/entity/Q115361944,Convergence,
http://www.wikidata.org/entity/Q115362072,Second Dark Elf Conflict,
http://www.wikidata.org/entity/Q115362155,Sacking of Asgard,
http://www.wikidata.org/entity/Q115362231,Second Battle of Svartalfheim,
http://www.wikidata.org/entity/Q115362282,Battle of Greenwich,
http://www.wikidata.org/entity/Q116025879,Namor,male
http://www.wikidata.org/entity/Q116207431,Stark Industries Aviation Division,
http://www.wikidata.org/entity/Q116207455,Ten Rings Base,
http://www.wikidata.org/entity/Q116207510,Stark Industries Headquarters,
http://www.wikidata.org/entity/Q116207587,S.H.I.E.L.D. Los Angeles Office,
http://www.wikidata.org/entity/Q116207612,Roxxon Corporation Building,
http://www.wikidata.org/entity/Q116207649,Obadiah Stane's Mansion,
http://www.wikidata.org/entity/Q116207693,Mark I Iron Man Armor,
http://www.wikidata.org/entity/Q116207744,Mark II Iron Man Armor,
http://www.wikidata.org/entity/Q116207769,Mark III Iron Man Armor,
http://www.wikidata.org/entity/Q116207798,Iron Monger Armor,
http://www.wikidata.org/entity/Q116207824,Sonic Taser,
http://www.wikidata.org/entity/Q116207853,Dum-E and U,
http://www.wikidata.org/entity/Q116207938,Pick-Lock Device,
http://www.wikidata.org/entity/Q116207967,Stark Industries Fragmentation Shell,
http://www.wikidata.org/entity/Q116208119,Stark Industries Private Jet,
http://www.wikidata.org/entity/Q116208146,Ford Flathead Roadster,
http://www.wikidata.org/entity/Q116208311,RJ News,
http://www.wikidata.org/entity/Q116208369,KNKV News,
http://www.wikidata.org/entity/Q116208470,FBX,
http://www.wikidata.org/entity/Q116208626,KPFW,
http://www.wikidata.org/entity/Q116208846,KHEJ,
http://www.wikidata.org/entity/Q116215722,Bruce Banner's Apartment Building,
http://www.wikidata.org/entity/Q116215785,Pingo Doce Bottling Plant,
http://www.wikidata.org/entity/Q116215803,Watcher Informant's House,
http://www.wikidata.org/entity/Q116215847,Stanley's Pizza Parlor,
http://www.wikidata.org/entity/Q116215906,Willowdale,
http://www.wikidata.org/entity/Q116215927,Fort Johnson,
http://www.wikidata.org/entity/Q116216019,Smoky Mountain National Forest,
http://www.wikidata.org/entity/Q116216038,Five Mile Fork,
http://www.wikidata.org/entity/Q116216070,Grayburn College,
http://www.wikidata.org/entity/Q116216121,Bruce Banner's Hideout,
http://www.wikidata.org/entity/Q116216142,Demolished Bar,
http://www.wikidata.org/entity/Q116216161,Gamma Ray Projector,
http://www.wikidata.org/entity/Q116216511,Pingo Doce,
http://www.wikidata.org/entity/Q116216575,Super Soldier Serum,
http://www.wikidata.org/entity/Q116216737,Stark Sonic Cannon,
http://www.wikidata.org/entity/Q116216769,Stark Industries Rocket Launcher,
http://www.wikidata.org/entity/Q116216818,Inventory of Rare and Endangered Tracheophyta of Amazônia,
http://www.wikidata.org/entity/Q116216857,Compact Portuguese English Dictionary,
http://www.wikidata.org/entity/Q116216921,Ricky,
http://www.wikidata.org/entity/Q116217056,Bio-Tech Force Enhancement Project,
http://www.wikidata.org/entity/Q116217292,WHiH World News,
http://www.wikidata.org/entity/Q116217586,Culver University Press,
http://www.wikidata.org/entity/Q116217808,Avengers Initiative,
http://www.wikidata.org/entity/Q116278718,Ivan Vanko's Workshop,
http://www.wikidata.org/entity/Q116279192,Mark IV Iron Man Armor,
http://www.wikidata.org/entity/Q116279806,Mark V Iron Man Armor,
http://www.wikidata.org/entity/Q116279907,Mark VI Iron Man Armor,
http://www.wikidata.org/entity/Q116280056,Mark I War Machine Armor,
http://www.wikidata.org/entity/Q116280126,Mark I Whiplash Armor,
http://www.wikidata.org/entity/Q116280197,Mark II Whiplash Armor,
http://www.wikidata.org/entity/Q116280328,Expo Intro,
http://www.wikidata.org/entity/Q116280396,Tony Stark's New Element,
http://www.wikidata.org/entity/Q116280508,Feebles,
http://www.wikidata.org/entity/Q116280545,Hammer Drones,
http://www.wikidata.org/entity/Q116280678,Taser Disk,
http://www.wikidata.org/entity/Q116280770,Ex-Wife Missile,
http://www.wikidata.org/entity/Q116280807,Stark Medical Scanner,
http://www.wikidata.org/entity/Q116280838,Howard Stark's S.H.I.E.L.D. Box,
http://www.wikidata.org/entity/Q116280895,Potato Bomb,
http://www.wikidata.org/entity/Q116280954,Uru,
http://www.wikidata.org/entity/Q116281107,Irina,
http://www.wikidata.org/entity/Q116281152,Hammer Industries,
http://www.wikidata.org/entity/Q116281223,Ironette Dancers,
http://www.wikidata.org/entity/Q116281271,London Express News,
http://www.wikidata.org/entity/Q116281305,The Dallas Record,
http://www.wikidata.org/entity/Q116281359,The Boston Guardian,
http://www.wikidata.org/entity/Q116281397,Toronto Telegraph,
http://www.wikidata.org/entity/Q116294493,New Asgard,
http://www.wikidata.org/entity/Q116294729,Smith Motors,
http://www.wikidata.org/entity/Q116294759,Isabela's Diner,
http://www.wikidata.org/entity/Q116295067,Puente Antiguo County Hospital,
http://www.wikidata.org/entity/Q116295124,Pet Palace,
http://www.wikidata.org/entity/Q116295236,Joint Dark Energy Mission Facility,
http://www.wikidata.org/entity/Q116295317,Nine Realms,
http://www.wikidata.org/entity/Q116295398,Hall of Asgard,
http://www.wikidata.org/entity/Q116295569,Rainbow Bridge,
http://www.wikidata.org/entity/Q116295832,Asgardian Armor,
http://www.wikidata.org/entity/Q116295948,Casket of Ancient Winters,
http://www.wikidata.org/entity/Q116296434,Fake Infinity Gauntlet,
http://www.wikidata.org/entity/Q116296496,Warlock's Eye,
http://www.wikidata.org/entity/Q116296539,Tablet of Life and Time,
http://www.wikidata.org/entity/Q116296633,Hofund,
http://www.wikidata.org/entity/Q116296740,Sif's Sword and Shield,
http://www.wikidata.org/entity/Q116296844,Fimbuldraugr,
http://www.wikidata.org/entity/Q66189190,Soh-Larr,male
http://www.wikidata.org/entity/Q66189316,Talos,male
http://www.wikidata.org/entity/Q66189422,Bron-Char,male
http://www.wikidata.org/entity/Q66189494,Soren,female
http://www.wikidata.org/entity/Q66189636,Steven Danvers,male
http://www.wikidata.org/entity/Q66189681,Joseph Danvers,male
http://www.wikidata.org/entity/Q66189735,Norex,male
http://www.wikidata.org/entity/Q66189877,Mar-Vell,female
http://www.wikidata.org/entity/Q66190034,Supreme Intelligence,
http://www.wikidata.org/entity/Q66190214,Councilman Yen,male
http://www.wikidata.org/entity/Q66190289,Jack Rollins,male
http://www.wikidata.org/entity/Q66190431,Nagendra Singh,male
http://www.wikidata.org/entity/Q66190494,Laura Barton,female
http://www.wikidata.org/entity/Q66190714,Nathaniel Pietro Barton,male
http://www.wikidata.org/entity/Q66190801,Lila Barton,female
http://www.wikidata.org/entity/Q66190910,Helen Cho,female
http://www.wikidata.org/entity/Q66190994,Madame B,female
http://www.wikidata.org/entity/Q66191108,Doctor List,male
http://www.wikidata.org/entity/Q66191257,Akihiko,male
http://www.wikidata.org/entity/Q66191428,Vice President Rodriguez,male
http://www.wikidata.org/entity/Q66191496,Doctor Wu,male
http://www.wikidata.org/entity/Q66191596,Jack Taggart,male
http://www.wikidata.org/entity/Q66191655,Chad Davis,male
http://www.wikidata.org/entity/Q66191701,Thomas Richards,male
http://www.wikidata.org/entity/Q66191882,Matthew Ellis,male
http://www.wikidata.org/entity/Q66192035,E.D.I.T.H.,
http://www.wikidata.org/entity/Q66192223,Jason Ionello,male
http://www.wikidata.org/entity/Q66192354,Brad Davis,male
http://www.wikidata.org/entity/Q66192435,Roger Harrington,male
http://www.wikidata.org/entity/Q66192865,Doris Toomes,female
http://www.wikidata.org/entity/Q66192949,Anne Marie Hoag,female
http://www.wikidata.org/entity/Q66193113,Jackson Brice,male
http://www.wikidata.org/entity/Q66193253,Mac Gargan,male
http://www.wikidata.org/entity/Q66193312,Mr. Delmar,male
http://www.wikidata.org/entity/Q66193374,Mr. Hapgood,male
http://www.wikidata.org/entity/Q66193444,Principal Morita,male
http://www.wikidata.org/entity/Q66193513,Coach Wilson,male
http://www.wikidata.org/entity/Q66193683,Abraham Brown,male
http://www.wikidata.org/entity/Q66193752,Ms. Warren,female
http://www.wikidata.org/entity/Q66193792,Mr. Cobbwell,male
http://www.wikidata.org/entity/Q66193853,Seymour,male
http://www.wikidata.org/entity/Q66193924,Randy Vale,male
http://www.wikidata.org/entity/Q66194002,Gilmore Hodge,male
http://www.wikidata.org/entity/Q66194056,Hutter,male
http://www.wikidata.org/entity/Q66194115,Jacques Dernier,male
http://www.wikidata.org/entity/Q66194172,Private Lorraine,female
http://www.wikidata.org/entity/Q66194263,James Montgomery Falsworth,male
http://www.wikidata.org/entity/Q66194316,Schneider,male
http://www.wikidata.org/entity/Q66194363,Bonnie,female
http://www.wikidata.org/entity/Q66194397,Connie,female
http://www.wikidata.org/entity/Q66194446,Senator Brandt,male
http://www.wikidata.org/entity/Q66194497,Michael Duffy,male
http://www.wikidata.org/entity/Q66194598,Roeder,male
http://www.wikidata.org/entity/Q66195344,Fitzgibbon,male
http://www.wikidata.org/entity/Q66195461,Tower Keeper,male
http://www.wikidata.org/entity/Q66195522,Jan,male
http://www.wikidata.org/entity/Q66195568,Zrinka,female
http://www.wikidata.org/entity/Q66195604,Costel,male
http://www.wikidata.org/entity/Q66195670,Foster,male
http://www.wikidata.org/entity/Q66195769,Charles Murphy,male
http://www.wikidata.org/entity/Q66195847,Limbani,male
http://www.wikidata.org/entity/Q66195880,Linda,female
http://www.wikidata.org/entity/Q66195918,Sophia,female
http://www.wikidata.org/entity/Q66195968,Richard Madison,male
http://www.wikidata.org/entity/Q66196008,Maddie,female
http://www.wikidata.org/entity/Q66196036,Navid,male
http://www.wikidata.org/entity/Q66196067,John,male
http://www.wikidata.org/entity/Q66196132,Mrs. Davis,female
http://www.wikidata.org/entity/Q66196208,Ellen Brandt,female
http://www.wikidata.org/entity/Q66196265,Heather,female
